Cluster ID,confidence_score,unique_id,venue,year,title,authors,canonical_unique_id,canonical_venue,canonical_year,canonical_title,canonical_authors
12,,0,SIGMOD Record,1998,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,D. Scott Mackay,,,,,
0,0.99999654,1,VLDB J.,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",b'1',b'vldb j.',b'1996',b'estimation of query-result distribution and its application in parallel-join load balancing',"b'viswanath poosala, yannis e. ioannidis'"
1,0.99999654,2,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",b'2',b'vldb',b'2002',b'incremental maintenance for non-distributive aggregate functions',"b'themistoklis palpanas, richard sidle, hamid pirahesh, roberta cochrane'"
2,0.99999654,3,VLDB,1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",b'3',b'vldb',b'1996',b'cost-based selection of path expression processing algorithms in object-oriented databases',"b'zhao-hui tang, georges gardarin, jean-robert gruser'"
3,0.99999654,4,VLDB,1995,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",b'4',b'vldb',b'1995',b'benchmarking spatial join operations with spatial output',"b'erik g. hoel, hanan samet'"
4,0.999439,5,SIGMOD Record,1999,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim,b'5',b'sigmod record',b'1999',b'efficient geometry-based similarity search of 3d spatial databases',b'daniel a. keim'
4,0.999439,6,SIGMOD Record,1999,Efficient Geometry-3D Spatial Databases,Aris M. Ouksel,b'5',b'sigmod record',b'1999',b'efficient geometry-based similarity search of 3d spatial databases',b'daniel a. keim'
13,,7,VLDB J.,1998,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri,,,,,
5,0.99999654,8,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Nandit Soparkar, Krithi Ramamritham",b'8',b'sigmod record',b'1997',"b""report on dart '96: databases: active and real-time (concepts meet practice)""","b'nandit soparkar, krithi ramamritham'"
5,0.99999654,9,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Phil Janus, Albert D'Andrea",b'8',b'sigmod record',b'1997',"b""report on dart '96: databases: active and real-time (concepts meet practice)""","b'nandit soparkar, krithi ramamritham'"
6,0.99999654,10,VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",b'10',b'vldb',b'1994',b'dual-buffering strategies in object bases',"b'alfons kemper, donald kossmann'"
7,0.99999654,11,SIGMOD Conference,2003,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",b'11',b'sigmod conference',b'2003',b'aurora: a data stream management system',"b'nesime tatbul, daniel j. abadi, c. erwin, anurag maskey, mitch cherniack, alex rasin, christian convey, a. singer, eduardo f. galvez, r. yan, ugur etintemel, ying xing, stanley b. zdonik, michael stonebraker, donald carney, m. hatoun'"
8,0.999996542930603,12,VLDB J.,2005,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",b'26',b'vldb j.',b'2005',b'priority assignment in real-time active databases',"b'rajendran m. sivasankaran, bhaskar purimetla, john a. stankovic, krithi ramamritham, donald f. towsley'"
9,0.9996248483657837,13,VLDB J.,2000,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",b'13',b'vldb j.',b'2000',b'wavecluster: a wavelet based clustering approach for spatial data in very large databases',"b'surojit chatterjee, gholamhosein sheikholeslami, aidong zhang'"
9,0.9996248483657837,14,VLDB J.,2000,A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",b'13',b'vldb j.',b'2000',b'wavecluster: a wavelet based clustering approach for spatial data in very large databases',"b'surojit chatterjee, gholamhosein sheikholeslami, aidong zhang'"
10,0.99999654,15,VLDB J.,1997,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",b'15',b'vldb j.',b'1997',b'sprint: a scalable parallel classifier for data mining',"b'john c. shafer, rakesh agrawal, manish mehta'"
11,0.999439,16,SIGMOD Conference,1997,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",b'16',b'sigmod conference',b'1997',b'snowball: a prototype system for extracting relations from large text collections',"b'jeff pavel, luis gravano, aleksandr voskoboynik, eugene agichtein, viktoriya sokolova'"
11,0.999439,17,SIGMOD Conference,1997,Snowball: A Prototype,"Timothy Griffin, Richard Hull",b'16',b'sigmod conference',b'1997',b'snowball: a prototype system for extracting relations from large text collections',"b'jeff pavel, luis gravano, aleksandr voskoboynik, eugene agichtein, viktoriya sokolova'"
14,,18,VLDB J.,2004,Parametric Query Optimization,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",,,,,
15,,19,VLDB,2001,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",,,,,
0,0.99999654,20,VLDB J.,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",b'1',b'vldb j.',b'1996',b'estimation of query-result distribution and its application in parallel-join load balancing',"b'viswanath poosala, yannis e. ioannidis'"
1,0.99999654,21,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",b'2',b'vldb',b'2002',b'incremental maintenance for non-distributive aggregate functions',"b'themistoklis palpanas, richard sidle, hamid pirahesh, roberta cochrane'"
2,0.99999654,22,VLDB,1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",b'3',b'vldb',b'1996',b'cost-based selection of path expression processing algorithms in object-oriented databases',"b'zhao-hui tang, georges gardarin, jean-robert gruser'"
3,0.99999654,23,VLDB,1995,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",b'4',b'vldb',b'1995',b'benchmarking spatial join operations with spatial output',"b'erik g. hoel, hanan samet'"
6,0.99999654,24,VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",b'10',b'vldb',b'1994',b'dual-buffering strategies in object bases',"b'alfons kemper, donald kossmann'"
7,0.99999654,25,SIGMOD Conference,2003,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",b'11',b'sigmod conference',b'2003',b'aurora: a data stream management system',"b'nesime tatbul, daniel j. abadi, c. erwin, anurag maskey, mitch cherniack, alex rasin, christian convey, a. singer, eduardo f. galvez, r. yan, ugur etintemel, ying xing, stanley b. zdonik, michael stonebraker, donald carney, m. hatoun'"
8,0.999996542930603,26,VLDB J.,2005,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",b'26',b'vldb j.',b'2005',b'priority assignment in real-time active databases',"b'rajendran m. sivasankaran, bhaskar purimetla, john a. stankovic, krithi ramamritham, donald f. towsley'"
8,0.999996542930603,27,VLDB J.,2005,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",b'26',b'vldb j.',b'2005',b'priority assignment in real-time active databases',"b'rajendran m. sivasankaran, bhaskar purimetla, john a. stankovic, krithi ramamritham, donald f. towsley'"
9,0.9996248483657837,28,VLDB J.,2000,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",b'13',b'vldb j.',b'2000',b'wavecluster: a wavelet based clustering approach for spatial data in very large databases',"b'surojit chatterjee, gholamhosein sheikholeslami, aidong zhang'"
9,0.9996248483657837,29,VLDB J.,2000,A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",b'13',b'vldb j.',b'2000',b'wavecluster: a wavelet based clustering approach for spatial data in very large databases',"b'surojit chatterjee, gholamhosein sheikholeslami, aidong zhang'"
10,0.99999654,30,VLDB J.,1997,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",b'15',b'vldb j.',b'1997',b'sprint: a scalable parallel classifier for data mining',"b'john c. shafer, rakesh agrawal, manish mehta'"
